Ranking,Company,Nation,HQ,Sector,Industry,Web
148,Reliance Industries,India,Mumbai,Energy,Petroleum Refining,www.ril.com
149,CITIC Group,China,Beijing,Financials,Diversified Financials,www.group.citic
150,Equinor,Norway,"Stavanger, Norway",Energy,Petroleum Refining,http://www.equinor.com
151,Groupe BPCE,France,Paris,Financials,Banks: Commercial and Savings,www.groupebpce.fr
152,Archer Daniels Midland,U.S.,Chicago,"Food, Beverages & Tobacco",Food Production,www.adm.com
153,Unilever,Britain/Netherlands,London,Household Products,Household and Personal Products,www.unilever.com
154,Aetna,U.S.,"Hartford, Conn.",Health Care,Health Care: Insurance and Managed Care,www.aetna.com
155,FedEx,U.S.,Memphis,Transportation,"Mail, Package, and Freight Delivery",www.fedex.com
156,Auchan Holding,France,"Croix, France",Food & Drug Stores,Food & Drug Stores,www.auchanholding.com
157,Albertsons Cos.,U.S.,"Boise, Idaho",Food & Drug Stores,Food & Drug Stores,www.albertsonscompanies.com
158,Vodafone Group,Britain,"Newbury, Britain",Telecommunications,Telecommunications,www.vodafone.com
159,United Technologies,U.S.,"Farmington, Conn.",Aerospace & Defense,Aerospace & Defense,www.utc.com
160,Prudential Financial,U.S.,"Newark, N.J.",Financials,"Insurance: Life, Health (stock)",www.prudential.com
161,Aviation Industry Corp. of China,China,Beijing,Aerospace & Defense,Aerospace & Defense,www.avic.com
162,China Baowu Steel Group,China,Shanghai,Materials,Metals,www.baowugroup.com
163,PTT,Thailand,Bangkok,Energy,Petroleum Refining,www.pttplc.com
164,Telefonica,Spain,Madrid,Telecommunications,Telecommunications,www.telefonica.com
165,Toyota Tsusho,Japan,"Nagoya, Japan",Wholesalers,Trading,www.toyota-tsusho.com
166,Banco Bradesco,Brazil,"Osasco, Brazil",Financials,Banks: Commercial and Savings,www.bradesco.com.br
167,ChemChina,China,Beijing,Chemicals,Chemicals,www.chemchina.com
168,Bank of Communications,China,Shanghai,Financials,Banks: Commercial and Savings,www.bankcomm.com
169,Roche Group,Switzerland,"Basel, Switzerland",Health Care,Pharmaceuticals,www.roche.com
170,Anheuser-Busch InBev,Belgium,"Leuven, Belgium","Food, Beverages & Tobacco",Beverages,www.ab-inbev.com
171,ING Group,Netherlands,Amsterdam,Financials,Banks: Commercial and Savings,www.ing.com
172,Legal & General Group,Britain,London,Financials,"Insurance: Life, Health (stock)",www.legalandgeneralgroup.com
173,Louis Dreyfus,Netherlands,Rotterdam,"Food, Beverages & Tobacco",Food Production,www.ldc.com
174,Sysco,U.S.,Houston,Wholesalers,Wholesalers: Food and Grocery,www.sysco.com
175,Banco do Brasil,Brazil,Bras��_lia,Financials,Banks: Commercial and Savings,www.bb.com.br
176,Disney,U.S.,"Burbank, Calif.",Media,Entertainment,www.disney.com
177,Mitsubishi UFJ Financial Group,Japan,Tokyo,Financials,Banks: Commercial and Savings,www.mufg.jp
178,LG Electronics,South Korea,Seoul,Technology,"Electronics, Electrical Equip.",www.lg.com
179,Seven & I Holdings,Japan,Tokyo,Food & Drug Stores,Food & Drug Stores,www.7andi.com
180,America Movil,Mexico,Mexico City,Telecommunications,Telecommunications,www.americamovil.com
181,JD.com,China,Beijing,Technology,Internet Services and Retailing,www.jd.com
182,PowerChina,China,Beijing,Engineering & Construction,Engineering & Construction,www.powerchina.cn
183,Humana,U.S.,"Louisville, Ky.",Health Care,Health Care: Insurance and Managed Care,www.humana.com
184,POSCO,South Korea,Seoul,Materials,Metals,www.posco.com
185,Shandong Weiqiao Pioneering Group,China,"Shandong, China",Industrials,Textiles,www.weiqiaocy.com
186,Tokyo Electric Power,Japan,Tokyo,Energy,Utilities,www.tepco.co.jp
187,Pfizer,U.S.,New York City,Health Care,Pharmaceuticals,www.pfizer.com
188,Korea Electric Power,South Korea,"Jeollanam-do, South Korea",Energy,Utilities,www.kepco.co.kr
189,Lloyds Banking Group,Britain,London,Financials,Banks: Commercial and Savings,www.lloydsbankinggroup.com
190,HP,U.S.,"Palo Alto, Calif.",Technology,"Computers, Office Equipment",www.hp.com
191,Petronas,Malaysia,Kuala Lumpur,Energy,Petroleum Refining,www.petronas.com
192,Sumitomo Mitsui Financial Group,Japan,Tokyo,Financials,Banks: Commercial and Savings,www.smfg.co.jp
193,Bayer,Germany,"Leverkusen, Germany",Health Care,Pharmaceuticals,www.bayer.com
194,Sinopharm,China,Beijing,Health Care,Pharmaceuticals,www.sinopharm.com
195,Wesfarmers,Australia,"Perth, Australia",Food & Drug Stores,Food & Drug Stores,www.wesfarmers.com.au
196,Finatis,France,Paris,Food & Drug Stores,Food & Drug Stores,www.finatis.fr
197,Oil & Natural Gas,India,"Dehradun, India",Energy,"Mining, Crude-Oil Production",www.ongcindia.com
198,Nippon Steel & Sumitomo Metal,Japan,Tokyo,Materials,Metals,www.nssmc.com
199,JBS,Brazil,Sao Paulo,"Food, Beverages & Tobacco",Food Production,jbss.infoinvest.com.br
200,Lockheed Martin,U.S.,"Bethesda, Md.",Aerospace & Defense,Aerospace & Defense,www.lockheedmartin.com
201,CNP Assurances,France,Paris,Financials,"Insurance: Life, Health (stock)",www.cnp.fr
202,Guangzhou Automobile Industry Group,China,"Guangzhou, China",Motor Vehicles & Parts,Motor Vehicles & Parts,www.gagc.com.cn
203,Novartis,Switzerland,"Basel, Switzerland",Health Care,Pharmaceuticals,www.novartis.com
204,Itochu,Japan,"Osaka, Japan",Wholesalers,Trading,www.itochu.co.jp
205,Sberbank,Russia,Moscow,Financials,Banks: Commercial and Savings,www.sberbank.ru
206,Continental,Germany,"Hanover, Germany",Motor Vehicles & Parts,Motor Vehicles & Parts,www.continental-corporation.com
207,AIG,U.S.,New York City,Financials,Insurance: Property and Casualty (Stock),www.aig.com
208,Christian Dior,France,Paris,Apparel,Apparel,www.dior-finance.com
