Magazine,Date,Author,Title,Url,Company
the-washington-post,2019-07-22T20:20:50Z,Greg Sargent,People privy to the intelligence are convinced another electoral attack is coming,https://www.washingtonpost.com/opinions/2019/07/22/people-privy-intelligence-are-convinced-another-electoral-attack-is-coming/,Facebook
the-washington-post,2019-07-22T18:18:22Z,David Ignatius,Uncertainty clouds the path forward for Afghanistan,https://www.washingtonpost.com/opinions/global-opinions/uncertainty-clouds-the-path-forward-for-afghanistan/2019/07/22/f614f9b8-ac78-11e9-a0c9-6d2d7818f3da_story.html,Facebook
the-washington-post,2019-07-22T12:08:53Z,Cat Zakrzewski,The Technology 202: Knight Foundation invests $50 million into research on tech's impact on democracy,https://www.washingtonpost.com/news/powerpost/paloma/the-technology-202/2019/07/22/the-technology-202-knight-foundation-invests-50-million-into-research-on-tech-s-impact-on-democracy/5d34a0541ad2e5592fc35a70/,Facebook
the-washington-post,2019-07-22T10:25:26Z,Jacqueline Alemany,Power Up: Trump's attempts to release A$AP Rocky are part of a pattern on race.,https://www.washingtonpost.com/news/powerpost/paloma/powerup/2019/07/22/powerup-trump-s-attempts-to-release-a-ap-rocky-are-part-of-a-pattern-on-race/5d34c2cc1ad2e5592fc35a71/,Facebook
the-washington-post,2019-07-22T11:27:07Z,Tory Newmyer,The Finance 202: Elizabeth Warren's wealth tax is popular. But voters worry it won't fly.,https://www.washingtonpost.com/news/powerpost/paloma/the-finance-202/2019/07/22/the-finance-202-elizabeth-warren-s-wealth-tax-is-popular-but-voters-worry-it-won-t-fly/5d34e835a7a0a46ab00883d1/,Facebook
the-washington-post,2019-07-22T09:27:23Z,https://www.facebook.com/erinmichellecunningham,U.N. nuclear watchdog chief dies amid uncertainty over Iran's nuclear program,https://www.washingtonpost.com/world/un-nuclear-watchdog-chief-dies-amid-uncertainty-over-irans-nuclear-program/2019/07/22/8d587fc6-ac55-11e9-a0c9-6d2d7818f3da_story.html,Facebook
the-washington-post,2019-07-22T11:40:53Z,,We have liftoff! India launches moon mission on second attempt,https://www.washingtonpost.com/world/middle_east/we-have-liftoff-india-launches-moon-mission-on-second-attempt/2019/07/22/8a1cb69c-aa34-11e9-8733-48c87235f396_story.html,Facebook
the-washington-post,2019-07-22T14:04:14Z,,"B.C. police searching for 2 missing, investigating murders",https://www.washingtonpost.com/world/the_americas/bc-police-searching-for-2-missing-investigating-murders/2019/07/22/3188da72-ac89-11e9-9411-a608f9d0c2d3_story.html,Facebook
the-washington-post,2019-07-23T07:46:06Z,,'I just don't want to kill 10 million people': Trump's comments reverberate in Afghanistan,https://www.washingtonpost.com/world/asia_pacific/i-just-dont-want-to-kill-10-million-people-trumps-comments-reverberate-in-afghanistan/2019/07/23/88e8d15e-ad0c-11e9-b071-94a3f4d59021_story.html,Facebook
the-washington-post,2019-07-23T04:16:02Z,,"North Korea parades new submarine, sending message to Trump",https://www.washingtonpost.com/world/north-korea-parades-new-submarine-sending-message-to-trump/2019/07/23/a163b210-acf5-11e9-9411-a608f9d0c2d3_story.html,Facebook
